date,time,CO,O3,NO2,SO2 ,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
170117,2200,1.4,3,50,-,-,41,29.8,5,0.5,
170117,2300,1.4,2,48,-,-,41,29.6,73,0.5,
170117,2400,1.4,2,47,-,-,41,29.3,362,0.5,
170118,100,1.2,2,48,-,-,41,29.2,37,0.5,
170118,200,1.1,2,47,-,-,41,28.9,77,0.5,
170118,300,1,2,42,-,-,42,28.5,54,0.5,
170118,400,0.9,2,36,-,-,42,28.2,50,0.5,
170118,500,0.8,3,31,-,-,42,28.1,43,0.7,
170118,600,0.9,2,30,-,-,42,27.9,312,0.8,
170118,700,1.1,2,34,-,-,42,27.6,131,0.5,
170118,800,1.4,2,31,-,-,42,27.7,171,0.5,
170118,900,1,3,31,-,-,41,28.8,38,1.2,
170118,1000,0.7,9,24,-,-,41,29.8,104,1.5,
170118,1100,0.5,14,20,-,-,41,30.1,204,1.8,
170118,1200,0.5,23,21,-,-,41,31.6,167,1.9,
170118,1300,0.4,24,19,-,-,41,32.1,175,1.8,
170118,1400,0.4,29,18,-,-,40,32.6,68,2.3,
170118,1500,0.4,28,24,-,-,40,33,339,2.2,
170118,1600,0.4,27,23,-,-,40,33.2,135,2,
170118,1700,0.4,25,25,-,-,41,32.9,283,1.9,
170118,1800,0.6,16,35,-,-,41,32.6,95,1.4,
170118,1900,0.7,6,45,-,-,41,32.1,33,0.9,
170118,2000,0.9,2,49,-,-,41,31.6,52,0.6,
170118,2100,1.2,2,47,-,-,41,31.1,338,0.5,
170118,2200,1,2,45,-,-,41,30.7,275,0.5,
170118,2300,0.9,2,43,-,-,41,30.2,124,0.5,
170118,2400,0.8,2,41,-,-,41,29.8,29,0.5,
170119,100,0.5,3,36,-,-,41,29.3,306,0.5,
170119,200,0.5,2,32,-,-,41,28.7,337,0.5,
170119,300,0.5,2,31,-,-,42,28.3,21,0.5,
170119,400,0.5,2,30,-,-,42,27.9,177,0.5,
170119,500,0.6,2,31,-,-,42,27.6,271,0.5,
170119,600,0.8,2,35,-,-,42,27.4,54,0.5,
170119,700,1.4,2,44,-,-,42,27.7,180,0.5,
170119,800,1.6,3,44,-,-,41,28.3,55,0.5,
170119,900,1.3,4,46,-,-,41,29.1,191,0.5,
170119,1000,0.8,10,40,-,-,41,30.4,64,1.3,
170119,1100,0.6,23,31,-,-,41,31.5,318,2,
170119,1200,0.6,29,32,-,-,40,32.6,85,2.5,
170119,1300,0.5,35,26,-,-,40,33.3,132,1.9,
170119,1400,0.4,31,23,-,-,40,33.6,177,1.3,
170119,1500,0.5,29,28,-,-,40,33.8,338,1.5,
170119,1600,0.5,35,29,-,-,40,33.9,276,1.7,
170119,1700,0.5,33,34,-,-,40,34.1,332,1.5,
170119,1800,0.7,19,47,-,-,40,33.6,186,0.8,
170119,1900,0.9,23,42,-,-,40,32.2,296,0.6,
170119,2000,0.8,23,39,-,-,41,31.1,283,0.6,
170119,2100,0.9,8,57,-,-,41,30.7,274,0.5,
170119,2200,1,2,69,-,-,41,30,297,0.5,
170119,2300,1,2,64,-,-,41,29.9,258,0.5,
170119,2400,0.7,9,50,-,-,41,30.5,89,0.6,
170120,100,1,3,58,-,-,41,29.8,72,0.5,
170120,200,0.9,2,55,-,-,41,29,155,0.5,
170120,300,0.8,2,49,-,-,41,28.6,168,0.5,
170120,400,0.7,2,40,-,-,42,28.2,62,0.5,
170120,500,0.6,2,34,-,-,42,27.6,17,0.5,
170120,600,0.7,2,35,-,-,42,27.3,68,0.5,
170120,700,1,2,39,-,-,42,26.9,56,0.5,
170120,800,1.2,2,38,-,-,42,27,97,0.6,
170120,900,0.8,3,37,-,-,42,28.1,169,1.3,
170120,1000,0.5,9,30,-,-,41,29.6,68,1.7,
170120,1100,0.4,17,27,-,-,41,31.1,76,2,
170120,1200,0.4,23,24,-,-,41,32.2,11,2.6,
170120,1300,0.3,28,21,-,-,40,32.7,146,2.5,
170120,1400,0.3,29,22,-,-,40,33.1,149,2.1,
170120,1500,0.4,30,26,-,-,40,33.2,25,2.2,
170120,1600,0.5,32,30,-,-,40,33.4,100,1.9,
